timestamp,task_id,operator_id,machine_id,avg_distance_5min,min_distance_5min,distance_trend_5min,proximity_rate_5min,avg_speed_5min,seatbelt_off_rate_5min,idle_rate_5min,machine_health_score,site_traffic_density,visibility_pct,ambient_temp_c,hazard_next_5min
2026-08-24 19:00:00,TSK-00001,OP-001,MC-008,42.2,42.2,,0.0,12.1,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:01:00,TSK-00001,OP-001,MC-008,33.0,23.8,,0.0,9.55,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:02:00,TSK-00001,OP-001,MC-008,35.133,23.8,,0.0,8.667,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:03:00,TSK-00001,OP-001,MC-008,36.85,23.8,,0.0,6.625,0.0,0.25,35.0,Medium,23.5,26.2,0
2026-08-24 19:04:00,TSK-00001,OP-001,MC-008,34.18,23.5,-18.7,0.0,6.34,0.0,0.2,35.0,Medium,23.5,26.2,0
2026-08-24 19:05:00,TSK-00001,OP-001,MC-008,29.42,18.4,-5.4,0.0,5.82,0.0,0.2,35.0,Medium,23.5,26.2,0
2026-08-24 19:06:00,TSK-00001,OP-001,MC-008,31.14,18.4,-7.0,0.0,5.8,0.0,0.2,35.0,Medium,23.5,26.2,0
2026-08-24 19:07:00,TSK-00001,OP-001,MC-008,28.38,18.4,-16.4,0.0,5.22,0.0,0.2,35.0,Medium,23.5,26.2,0
2026-08-24 19:08:00,TSK-00001,OP-001,MC-008,28.96,18.4,21.4,0.0,7.18,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:09:00,TSK-00001,OP-001,MC-008,30.32,18.4,11.9,0.0,8.32,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:10:00,TSK-00001,OP-001,MC-008,31.36,23.6,-8.8,0.0,8.46,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:11:00,TSK-00001,OP-001,MC-008,29.04,20.8,-4.8,0.0,8.56,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:12:00,TSK-00001,OP-001,MC-008,31.66,20.8,-6.2,0.0,9.4,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:13:00,TSK-00001,OP-001,MC-008,27.76,20.8,-4.9,0.0,8.58,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:14:00,TSK-00001,OP-001,MC-008,27.78,20.8,6.8,0.0,8.88,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:15:00,TSK-00001,OP-001,MC-008,30.58,20.8,16.8,0.0,7.76,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:16:00,TSK-00001,OP-001,MC-008,31.64,25.4,-12.6,0.0,8.56,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:17:00,TSK-00001,OP-001,MC-008,29.82,25.4,4.2,0.0,9.04,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:18:00,TSK-00001,OP-001,MC-008,30.72,26.1,-0.5,0.0,9.82,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:19:00,TSK-00001,OP-001,MC-008,31.74,26.1,-2.1,0.0,8.94,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:20:00,TSK-00001,OP-001,MC-008,31.16,26.1,8.6,0.0,10.0,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:21:00,TSK-00001,OP-001,MC-008,31.58,28.2,-1.4,0.0,9.14,0.0,0.0,35.0,Medium,23.5,26.2,0
2026-08-24 19:22:00,TSK-00001,OP-001,MC-008,31.76,28.2,0.6,0.0,8.6,0.0,0.0,35.0,Medium,23.5,26.2,0
