timestamp,task_id,operator_id,machine_id,engine_status,seatbelt_status,proximity_alert,speed_kmph,engine_temp_c,fuel_level_pct,hydraulic_pressure_psi,vibration_level
2026-08-24T19:00:00,TSK-00001,OP-001,MC-002,on,yes,no,8.9,91.9,99.6,2198.0,3.5
2026-08-24T19:01:00,TSK-00001,OP-001,MC-002,on,yes,no,6.3,75.1,99.6,2301.0,4.03
2026-08-24T19:02:00,TSK-00001,OP-001,MC-002,on,yes,no,13.0,80.9,99.1,1921.0,1.85
2026-08-24T19:03:00,TSK-00001,OP-001,MC-002,on,yes,no,3.9,87.5,99.3,2172.0,3.83
2026-08-24T19:04:00,TSK-00001,OP-001,MC-002,on,yes,no,8.8,84.6,97.9,2273.0,1.58
2026-08-24T19:05:00,TSK-00001,OP-001,MC-002,on,yes,no,11.2,80.4,99.5,2159.0,2.79
2026-08-24T19:06:00,TSK-00001,OP-001,MC-002,on,yes,no,5.3,75.9,99.5,2281.0,2.41
2026-08-24T19:07:00,TSK-00001,OP-001,MC-002,on,yes,no,11.2,100.8,98.3,2262.0,1.33
2026-08-24T19:08:00,TSK-00001,OP-001,MC-002,idle,yes,no,0.7,92.8,98.5,2183.0,3.6
2026-08-24T19:09:00,TSK-00001,OP-001,MC-002,on,yes,no,5.4,76.3,98.0,2319.0,3.26
2026-08-24T19:10:00,TSK-00001,OP-001,MC-002,on,yes,no,7.1,97.2,98.6,1995.0,0.81
2026-08-24T19:11:00,TSK-00001,OP-001,MC-002,on,yes,no,6.2,86.1,98.0,2183.0,2.88
2026-08-24T19:12:00,TSK-00001,OP-001,MC-002,on,yes,no,7.8,86.9,98.0,2308.0,4.05
2026-08-24T19:13:00,TSK-00001,OP-001,MC-002,idle,yes,no,0.2,96.6,99.1,1986.0,2.35
2026-08-24T19:14:00,TSK-00001,OP-001,MC-002,on,yes,no,10.0,98.0,99.1,1959.0,3.95
